afp,nivel,tipo,detalle
Habitat,MEDIA,COBERTURA_PARCIAL,La última fecha tiene cobertura de 50.0 %. Factores actualizados: ret_IDX_VIX.
Habitat,INFORMATIVA,SIN_VALIDACIONES_NUEVAS,"Las estimaciones están archivadas, pero la SBS todavía no publicó cuotas coincidentes."
Habitat,INFORMATIVA,SENAL_DEBIL,La variación estimada es pequeña frente al error histórico del modelo.
Integra,INFORMATIVA,SIN_NUEVA_SENAL_FACTORES,Ningún factor de la canasta tuvo un nuevo cierre en la última fecha; el retorno estimado proviene principalmente del componente base del modelo.
Integra,INFORMATIVA,SIN_VALIDACIONES_NUEVAS,"Las estimaciones están archivadas, pero la SBS todavía no publicó cuotas coincidentes."
Integra,INFORMATIVA,SENAL_DEBIL,La variación estimada es pequeña frente al error histórico del modelo.
Prima,MEDIA,COBERTURA_PARCIAL,La última fecha tiene cobertura de 25.0 %. Factores actualizados: ret_IDX_VIX.
Prima,INFORMATIVA,SIN_VALIDACIONES_NUEVAS,"Las estimaciones están archivadas, pero la SBS todavía no publicó cuotas coincidentes."
Prima,INFORMATIVA,SENAL_DEBIL,La variación estimada es pequeña frente al error histórico del modelo.
Profuturo,INFORMATIVA,SIN_NUEVA_SENAL_FACTORES,Ningún factor de la canasta tuvo un nuevo cierre en la última fecha; el retorno estimado proviene principalmente del componente base del modelo.
Profuturo,INFORMATIVA,SIN_VALIDACIONES_NUEVAS,"Las estimaciones están archivadas, pero la SBS todavía no publicó cuotas coincidentes."
Profuturo,INFORMATIVA,SENAL_DEBIL,La variación estimada es pequeña frente al error histórico del modelo.
